1  ACTIVO        
1.01  ACTIVO CORRIENTE        
1.01.01  DISPONIBILIDADES         
1.01.01.01  RECAUDACIONES A DEPOSITAR        
1.01.01.02  CAJA        
1.01.01.03  FONDOS FIJOS         
1.01.01.04  BANCOS        
1.01.02  INVERSIONES TEMPORARIAS        
1.01.02.01  INVERSIONES FINANCIERAS        
1.01.02.02  INVERSIONES EN ENTIDADES VINCULADAS        
1.01.02.03  OTRAS INVERSIONES        
1.01.02.04  INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES        
1.01.03  CRÉDITOS         
1.01.03.01  DEUDORES POR VENTAS        
1.01.03.02  DEUDORES POR PRÉSTAMOS        
1.01.03.03  CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS         
1.01.03.04  CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS        
1.01.03.05  CRÉDITOS POR IMPUESTOS CORRIENTES        
1.01.03.05.01  ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA         
1.01.03.05.02  RETENCIONES DE IVA        
1.01.03.05.03  IVA - CRÉDITO FISCAL         
1.01.03.05.04  IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO        
1.01.03.06  ANTICIPO A PROVEEDORES        
1.01.03.06.01  ANTICIPOS A PROVEEDORES LOCALES        
1.01.03.06.02  ANTICIPOS A PROVEEDORES DEL EXTERIOR        
1.01.03.99   PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO          
1.01.04  INVENTARIOS         
1.01.04.01  MERCADERÍAS         
1.01.04.01.01  MERCADERÍAS GRAVADAS POR EL IVA AL 10%        
1.01.04.01.02  MERCADERÍAS GRAVADAS POR EL IVA AL 5%        
1.01.04.01.03  MERCADERÍAS EXENTAS DEL IVA        
1.01.04.02  MERCADERÍAS REGÍMENES ESPECIALES        
1.01.04.02.01  MERCADERÍAS RÉGIMEN DE TURISMO        
1.01.04.02.02  MERCADERÍAS ZONA FRANCA        
1.01.04.02.03  MERCADERÍAS RÉGIMEN DE MAQUILA        
1.01.04.02.04  MERCADERÍAS OTROS REGÍMENES ESPECIALES         
1.01.04.03  PRODUCTOS TERMINADOS        
1.01.04.03.01  PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%        
1.01.04.03.02  PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%        
1.01.04.03.03  PRODUCTOS TERMINADOS EXENTOS DEL IVA        
1.01.04.04  PRODUCTOS EN PROCESO        
1.01.04.05  MATERIAS PRIMAS         
1.01.04.06  MATERIALES, SUMINISTROS Y REPUESTOS        
1.01.04.07  PRODUCTOS AGRÍCOLAS        
1.01.04.08  PRODUCTOS FORESTALES         
1.01.04.09  ACTIVOS BIOLÓGICOS EN PRODUCCIÓN         
1.01.04.10  ACTIVOS BIOLÓGICOS EN DESARROLLO        
1.01.04.11  IMPORTACIONES EN CURSO        
1.01.04.99   PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS                
1.01.05  GASTOS PAGADOS POR ADELANTADO        
1.01.05.01  ALQUILERES PAGADOS POR ADELANTADO        
1.01.05.02  SEGUROS A DEVENGAR        
1.01.06  OTROS ACTIVOS        
1.02  ACTIVO NO CORRIENTE        
1.02.01  CRÉDITOS A LARGO PLAZO         
1.02.01.01  DEUDORES POR VENTAS        
1.02.01.02  DEUDORES POR PRÉSTAMOS        
1.02.01.03  CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS         
